"mention_id","event_id","account_id","start_position","length","task_id","team_id","dtype","workspace_id"
"54238001-5e05-4ba8-9128-6bdbecf80983","4365e935-30c4-4bf3-99f6-d532a5acf5cb","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"c974c93c-ff10-4b28-bd68-102b49f1461b","62845be1-2d97-403b-a060-35c5e411eb50","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"d6dfd418-9742-4261-9212-4f28a6a64cfd","4b98431c-7350-44e9-bf25-dd5f5008f085","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"6251b1a2-a6e7-45d1-9ccf-59861bc5f1c7","4b98431c-7350-44e9-bf25-dd5f5008f085","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","13","14","null","null","AccountMention","null"
"8d0c5a7a-d319-4446-b12b-c1bd344b349e","d682908d-4d80-4adf-b837-33ba7a3c522f","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"b327f5bb-930c-44b6-a088-498fc19b8dfe","da454490-c009-4f15-a376-f47a84d667ec","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"caa7cbe2-52dd-40c1-a357-c62767096547","bcb0eae0-730b-489a-baa5-69b3334ccb73","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"eec1972d-d895-4a49-a06e-49be111e4d6b","84e9aaa2-9de2-4a41-87e8-9adf5cb55957","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"06d2754c-22fd-413d-8629-ced326723815","0bf176b5-404f-4fc9-abb3-9cc8dd23eca2","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"be6e9e4d-0f92-4f80-ad3e-25827db5e5b3","fd77f876-2e7c-4b71-963d-d2f81c1635ef","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"77d31d13-2b0f-4d6b-bb98-29db78031bf0","b2e6368f-6fec-4254-9560-a7aff329af33","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"8bd04480-f514-420f-af1b-f79313d26c34","49f1977e-c7dd-4cad-bab1-0a25f773ec6e","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
